ID,Type,Name,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
480,variation,Bohemian style colorful bracelet - BR-EN-043,Color,BR-EN-043,,1
479,variation,Bohemian style colorful bracelet - BR-EN-042,Color,BR-EN-042,,1
478,variation,Bohemian style colorful bracelet - BR-EN-041,Color,BR-EN-041,,1
476,variation,Bohemian style colorful bracelet - BR-EN-039,Color,BR-EN-039,,1
473,variation,Bohemian style colorful bracelet - BR-EN-036,Color,BR-EN-036,,1
474,variation,Bohemian style colorful bracelet - BR-EN-037,Color,BR-EN-037,,1
475,variation,Bohemian style colorful bracelet - BR-EN-038,Color,BR-EN-038,,1
477,variation,Bohemian style colorful bracelet - BR-EN-040,Color,BR-EN-040,,1
472,variation,Bohemian style colorful bracelet - BR-EN-035,Color,BR-EN-035,,1
471,variation,Bohemian style colorful bracelet - BR-EN-034,Color,BR-EN-034,,1
470,variation,Bohemian style colorful bracelet - BR-EN-033,Color,BR-EN-033,,1
469,variation,Bohemian style colorful bracelet - BR-EN-032,Color,BR-EN-032,,1
468,variation,Bohemian style colorful bracelet - BR-EN-031,Color,BR-EN-031,,1
463,variation,Bohemian style colorful bracelet - BR-EN-026,Color,BR-EN-026,,1
467,variation,Bohemian style colorful bracelet - BR-EN-030,Color,BR-EN-030,,1
466,variation,Bohemian style colorful bracelet - BR-EN-029,Color,BR-EN-029,,1
465,variation,Bohemian style colorful bracelet - BR-EN-028,Color,BR-EN-028,,1
464,variation,Bohemian style colorful bracelet - BR-EN-027,Color,BR-EN-027,,1
462,variation,Bohemian style colorful bracelet - BR-EN-025,Color,BR-EN-025,,1
461,variation,Bohemian style colorful bracelet - BR-EN-024,Color,BR-EN-024,,1
460,variation,Bohemian style colorful bracelet - BR-EN-023,Color,BR-EN-023,,1
459,variation,Bohemian style colorful bracelet - BR-EN-022,Color,BR-EN-022,,1
458,variation,Bohemian style colorful bracelet - BR-EN-021,Color,BR-EN-021,,1
457,variation,Bohemian style colorful bracelet - BR-EN-020,Color,BR-EN-020,,1
456,variation,Bohemian style colorful bracelet - BR-EN-019,Color,BR-EN-019,,1
455,variation,Bohemian style colorful bracelet - BR-EN-018,Color,BR-EN-018,,1
454,variation,Bohemian style colorful bracelet - BR-EN-017,Color,BR-EN-017,,1
451,variation,Bohemian style colorful bracelet - BR-EN-014,Color,BR-EN-014,,1
449,variation,Bohemian style colorful bracelet - BR-EN-012,Color,BR-EN-012,,1
450,variation,Bohemian style colorful bracelet - BR-EN-013,Color,BR-EN-013,,1
452,variation,Bohemian style colorful bracelet - BR-EN-015,Color,BR-EN-015,,1
453,variation,Bohemian style colorful bracelet - BR-EN-016,Color,BR-EN-016,,1
448,variation,Bohemian style colorful bracelet - BR-EN-011,Color,BR-EN-011,,1
447,variation,Bohemian style colorful bracelet - BR-EN-010,Color,BR-EN-010,,1
446,variation,Bohemian style colorful bracelet - BR-EN-009,Color,BR-EN-009,,1
445,variation,Bohemian style colorful bracelet - BR-EN-008,Color,BR-EN-008,,1
444,variation,Bohemian style colorful bracelet - BR-EN-007,Color,BR-EN-007,,1
443,variation,Bohemian style colorful bracelet - BR-EN-006,Color,BR-EN-006,,1
442,variation,Bohemian style colorful bracelet - BR-EN-005,Color,BR-EN-005,,1
441,variation,Bohemian style colorful bracelet - BR-EN-004,Color,BR-EN-004,,1
440,variation,Bohemian style colorful bracelet - BR-EN-003,Color,BR-EN-003,,1
439,variation,Bohemian style colorful bracelet - BR-EN-002,Color,BR-EN-002,,1
438,variation,Bohemian style colorful bracelet - BR-EN-001,Color,BR-EN-001,,1
425,variation,Test Product - Gray,Color,Gray,,1
426,variation,Test Product - Red,Color,Red,,1
427,variation,Test Product - Rose Gold,Color,Rose Gold,,1
428,variation,Test Product - Silver,Color,Silver,,1
423,variation,Test Product - Blue,Color,Blue,,1
424,variation,Test Product - Gold,Color,Gold,,1
